,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster,num_days,num_days_to_checkin,month,log2_orig_destination_distance,log1p_num_days_to_checkin,log1p_num_days,dest1,dest2,dest3,hotel_clus
0,2013-01-07 11:55:05,2,3,66,258,4687,836.2746,33803,0,1,1,2013-02-01 00:00:00,2013-02-04 00:00:00,2,0,1,12228,6,0,3,2,50,411,3,3,24,1,17.0,32.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[45, 45, 0, 0, 45]"
1,2013-01-25 05:17:59,2,3,66,258,4687,836.8361,33803,1,0,0,2013-02-01 00:00:00,2013-02-04 00:00:00,2,0,1,12228,6,0,2,2,50,411,41,3,6,1,17.0,19.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[41, 41, 41, 46, 64]"
2,2014-10-20 07:42:56,2,3,66,258,4687,836.6985,33803,0,0,9,2015-02-22 00:00:00,2015-02-24 00:00:00,2,0,1,12228,6,0,1,2,50,411,70,2,124,10,17.0,48.0,11.0,-1.41349309212,0.491023799907,0.599837921482,"[41, 41, 64, 64, 64]"
3,2014-10-20 07:51:41,2,3,66,258,4687,836.7068,33803,0,0,9,2015-02-22 00:00:00,2015-02-24 00:00:00,2,0,1,12228,6,0,1,2,50,411,97,2,124,10,17.0,48.0,11.0,-1.41349309212,0.491023799907,0.599837921482,"[41, 41, 0, 0, 41]"
4,2014-10-14 19:10:55,2,3,66,174,31593,1650.2981,504802,0,0,3,2015-01-24 00:00:00,2015-01-26 00:00:00,2,0,1,12228,6,0,2,2,50,411,17,2,101,10,18.0,46.0,11.0,-1.41349309212,0.491023799907,0.599837921482,"[91, 91, 91, 55, 91]"
5,2014-10-02 10:52:04,11,3,205,343,37594,1762.7881,508309,0,0,5,2014-11-11 00:00:00,2014-11-14 00:00:00,2,0,1,12228,6,0,2,2,50,411,72,3,39,10,18.0,37.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[42, 58, 91, 42, 42]"
6,2014-10-23 07:06:32,11,3,205,354,10837,1235.717,508309,0,0,5,2014-11-11 00:00:00,2014-11-14 00:00:00,2,0,1,12228,6,0,2,2,50,411,72,3,18,10,17.0,29.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[5, 91, 91, 5, 5]"
7,2014-10-23 07:08:53,11,3,205,354,10837,1235.973,508309,0,0,5,2014-11-11 00:00:00,2014-11-14 00:00:00,2,0,1,12228,6,0,1,2,50,411,55,3,18,10,17.0,29.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[42, 91, 91, 42, 42]"
8,2014-10-24 06:44:38,11,3,205,354,10837,1235.973,508309,0,0,5,2014-11-11 00:00:00,2014-11-14 00:00:00,2,0,1,12228,6,0,1,2,50,411,55,3,17,10,17.0,29.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[42, 91, 91, 42, 42]"
9,2014-10-24 06:45:11,11,3,205,354,10837,1235.717,508309,0,0,5,2014-11-11 00:00:00,2014-11-14 00:00:00,2,0,1,12228,6,0,2,2,50,411,72,3,17,10,17.0,29.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[42, 58, 91, 42, 42]"
10,2013-04-03 10:37:30,2,3,66,258,4687,836.6985,1002173,0,0,9,2013-06-02 00:00:00,2013-06-06 00:00:00,1,0,1,12228,6,0,2,2,50,411,68,4,59,4,17.0,41.0,16.0,-1.41349309212,0.491023799907,0.599837921482,"[50, 48, 48, 48, 91]"
11,2014-04-17 23:20:06,8,4,77,462,3492,10910.1478,1002527,1,0,9,2014-09-07 00:00:00,2014-09-11 00:00:00,2,0,1,12228,6,0,1,2,50,411,3,4,142,4,20.0,50.0,16.0,-1.41349309212,0.491023799907,0.599837921482,"[68, 95, 90, 90, 95]"
12,2014-04-17 23:23:42,8,4,77,462,3492,10909.9496,1002527,1,0,9,2014-09-07 00:00:00,2014-09-11 00:00:00,2,0,1,12228,6,0,1,2,50,411,9,4,142,4,20.0,50.0,16.0,-1.41349309212,0.491023799907,0.599837921482,"[68, 95, 90, 90, 95]"
13,2014-05-15 11:49:53,8,4,77,462,3492,10909.7157,1002527,1,0,4,2014-09-07 00:00:00,2014-09-11 00:00:00,2,0,1,12228,6,0,1,2,50,411,37,4,114,5,20.0,47.0,16.0,-1.41349309212,0.491023799907,0.599837921482,"[68, 95, 90, 90, 95]"
14,2014-06-03 23:26:10,8,4,77,462,3492,10909.7157,1002527,1,0,9,2014-09-07 00:00:00,2014-09-11 00:00:00,2,0,1,12228,6,0,1,2,50,411,37,4,95,6,20.0,46.0,16.0,-1.41349309212,0.491023799907,0.599837921482,"[68, 95, 90, 90, 95]"
15,2014-09-29 21:27:55,8,4,77,462,3492,10909.7157,1002527,1,0,9,2014-10-21 00:00:00,2014-10-23 00:00:00,2,0,1,12228,6,0,1,2,50,411,37,2,21,9,20.0,31.0,11.0,-1.41349309212,0.491023799907,0.599837921482,"[68, 95, 90, 90, 95]"
16,2013-12-10 13:37:56,2,3,66,220,5444,480.6262,1031258,0,0,9,2014-03-07 00:00:00,2014-03-10 00:00:00,4,0,1,12228,6,0,1,2,50,411,83,3,86,12,16.0,45.0,14.0,-1.41349309212,0.491023799907,0.599837921482,"[65, 65, 65, 8, 65]"
